station,latitude,longitude,elevation
NAIU,41.02,-112.23,1455.81
NAS0,25.05,-77.46,-21.24
NAU2,-77.52,167.15,3568.70
NAYX,32.32,-115.30,-23.83
NCEG,34.00,71.49,326.00
NDAP,34.77,-114.62,241.39
NEAH,48.30,-124.62,459.92
NEWS,39.69,-117.51,1770.29
NHRG,34.50,-119.14,1648.76
NMKM,36.45,-89.40,59.93
NNVN,61.63,-44.90,2134.61
NOMI,36.42,25.43,315.93
NOMT,45.60,-111.63,1578.05
NPGJ,28.12,81.60,87.80
NRSK,79.16,-17.73,348.01
NRWY,44.71,-110.68,2342.71
NVLX,32.39,-115.18,13.40
NWBL,16.82,-62.20,146.71
NWCC,36.42,-89.46,64.83
NWOT,40.06,-105.59,3522.73
OAES,34.14,-116.07,604.80
OCSD,33.24,-117.35,42.91
ODRE,26.87,87.39,2021.00
OFW2,44.45,-110.83,2280.52
OK01,36.39,-96.98,275.54
OK02,36.49,-96.96,267.85
OK03,36.33,-96.86,258.62
OK04,36.40,-96.91,264.60
OK05,36.43,-96.89,277.58
OK06,36.46,-96.86,252.28
OK07,36.45,-96.76,237.93
OK08,36.37,-96.94,248.26
OLO1,-2.73,35.95,988.05
OLO3,-2.75,35.87,1483.01
OLO5,-2.63,35.89,658.98
OLO6,-2.71,35.91,908.29
OLO7,-2.80,35.91,1449.14
OLO8,-2.78,35.95,1237.09
OLVN,16.75,-62.23,40.92
OPBL,34.37,-115.92,1226.55
OPCL,34.43,-116.31,1312.93
OPCP,34.37,-116.08,1096.66
OPCX,34.43,-116.15,1133.85
OPRD,34.53,-116.29,1400.27
ORE2,37.46,-121.75,600.00
ORE3,37.46,-121.75,661.00
OREO,37.46,-121.75,637.50
ORES,34.74,-120.28,143.67
ORMT,34.67,-116.82,1893.35
OVLS,34.33,-119.14,69.22
OXPE,15.89,-97.08,75.80
OXTH,16.29,-95.24,41.26
OXUM,15.66,-96.50,82.26
OZST,34.68,-119.35,1059.21
P001,31.95,-112.80,474.72
P002,39.52,-117.19,1741.71
P003,32.72,-114.00,50.98
P004,34.78,-112.15,1791.79
P005,39.91,-115.28,2015.67
P006,36.15,-114.46,365.24
P007,41.72,-114.82,1686.58
P008,36.14,-111.13,1522.06
P009,38.48,-112.22,1761.53
P010,34.67,-113.73,1399.07
P011,36.15,-109.52,1728.52
P012,38.10,-109.33,1788.51
P013,41.43,-117.33,1433.43
P014,31.97,-111.10,1067.98
P015,34.26,-110.01,1930.22
P016,40.08,-112.36,1730.53
